subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
T010,2,Floor level,4.2,ROVED,sitting,1.140175425099138,0.5099019513592785,1.3,5,2.4,0.2714703393093185,0.1214052265141139,0.07369614512471653,5,-0.4285714285714286,0.2714703393093185,0.1214052265141139,0.07369614512471653,5,0.4285714285714286,1.140175425099138,0.5099019513592785,1.3,5
T011,2,Floor level,4.2,ROVED,sitting,0.22360679774997896,0.09999999999999999,0.05,5,1.4,0.05323971374999495,0.023809523809523787,0.0028344671201814015,5,-0.6666666666666667,0.05323971374999495,0.023809523809523787,0.0028344671201814015,5,0.6666666666666667,0.22360679774997896,0.09999999999999999,0.05,5
T012,2,Floor level,4.2,ROVED,sitting,0,0,0,4,3,0,0,0,4,-0.28571428571428575,0,0,0,4,0.28571428571428575,0,0,0,4
T013,2,Floor level,4.2,ROVED,sitting,0.31464265445104544,0.1284523257866513,0.099,6,1.15,0.07491491772643935,0.030583887092059815,0.005612244897959176,6,-0.7261904761904763,0.07491491772643935,0.030583887092059815,0.005612244897959176,6,0.7261904761904763,0.3146426544510454,0.12845232578665128,0.09899999999999996,6
T001,5,Ear level,6,ROVED,sitting,0.816496580927726,0.408248290463863,0.6666666666666666,4,2,0.13608276348795434,0.06804138174397717,0.01851851851851852,4,-0.6666666666666666,0.13608276348795434,0.06804138174397717,0.01851851851851852,4,0.6666666666666666,0.816496580927726,0.408248290463863,0.6666666666666666,4
T002,5,Ear level,6,ROVED,sitting,0.27386127875258304,0.12247448713915889,0.075,5,2.2,0.045643546458763805,0.02041241452319313,0.00208333333333333,5,-0.6333333333333333,0.045643546458763805,0.02041241452319313,0.00208333333333333,5,0.6333333333333333,0.27386127875258304,0.12247448713915889,0.075,5
T003,5,Ear level,6,ROVED,sitting,0.5477225575051661,0.22360679774997896,0.3,6,3.5,0.09128709291752769,0.0372677996249965,0.008333333333333335,6,-0.41666666666666663,0.09128709291752769,0.0372677996249965,0.008333333333333335,6,0.41666666666666663,0.5477225575051661,0.22360679774997896,0.3,6
T004,5,Ear level,6,ROVED,sitting,1.1510864433221337,0.51478150704935,1.325,5,3.8,0.19184774055368894,0.08579691784155832,0.03680555555555555,5,-0.36666666666666664,0.19184774055368894,0.08579691784155832,0.03680555555555555,5,0.36666666666666664,1.1510864433221337,0.51478150704935,1.325,5
T007,5,Ear level,6,ROVED,sitting,0,0,0,6,2,0,0,0,6,-0.6666666666666666,0,0,0,6,0.6666666666666666,0,0,0,6
T008,5,Ear level,6,ROVED,sitting,0.6519202405202649,0.291547594742265,0.425,5,2.1,0.10865337342004415,0.0485912657903775,0.011805555555555555,5,-0.65,0.10865337342004415,0.0485912657903775,0.011805555555555555,5,0.65,0.6519202405202649,0.291547594742265,0.425,5
T009,5,Ear level,6,ROVED,sitting,0.5773502691896257,0.28867513459481287,0.3333333333333333,4,1.5,0.09622504486493767,0.048112522432468836,0.009259259259259267,4,-0.75,0.09622504486493767,0.048112522432468836,0.009259259259259267,4,0.75,0.5773502691896257,0.28867513459481287,0.3333333333333333,4
T010,5,Ear level,6,ROVED,sitting,0.3781534080237808,0.16911534525287764,0.14300000000000002,5,1.94,0.06302556800396344,0.028185890875479597,0.003972222222222221,5,-0.6766666666666666,0.06302556800396344,0.028185890875479597,0.003972222222222221,5,0.6766666666666666,0.3781534080237807,0.1691153452528776,0.143,5
T011,5,Ear level,6,ROVED,sitting,0.2041241452319315,0.08333333333333334,0.041666666666666664,6,1.9166666666666667,0.0340206908719886,0.013888888888888895,0.0011574074074074084,6,-0.6805555555555556,0.0340206908719886,0.013888888888888895,0.0011574074074074084,6,0.6805555555555556,0.2041241452319315,0.08333333333333334,0.041666666666666664,6
T012,5,Ear level,6,ROVED,sitting,0.5477225575051661,0.24494897427831777,0.3,5,2.6,0.09128709291752767,0.04082482904638629,0.00833333333333333,5,-0.5666666666666667,0.09128709291752767,0.04082482904638629,0.00833333333333333,5,0.5666666666666667,0.5477225575051661,0.24494897427831777,0.3,5
T013,5,Ear level,6,ROVED,sitting,0.4830458915396479,0.24152294576982394,0.23333333333333328,4,1.5,0.08050764858994136,0.04025382429497068,0.006481481481481487,4,-0.75,0.08050764858994136,0.04025382429497068,0.006481481481481487,4,0.75,0.4830458915396481,0.24152294576982405,0.2333333333333335,4
T001,2,Floor level,6,ROVED,sitting,0.816496580927726,0.408248290463863,0.6666666666666666,4,2,0.13608276348795434,0.06804138174397717,0.01851851851851852,4,-0.6666666666666666,0.13608276348795434,0.06804138174397717,0.01851851851851852,4,0.6666666666666666,0.816496580927726,0.408248290463863,0.6666666666666666,4
T002,2,Floor level,6,ROVED,sitting,0.3391164991562634,0.13844373104863458,0.115,6,1.45,0.05651941652604391,0.023073955174772436,0.003194444444444446,6,-0.7583333333333333,0.05651941652604391,0.023073955174772436,0.003194444444444446,6,0.7583333333333333,0.33911649915626335,0.13844373104863458,0.11499999999999998,6
T003,2,Floor level,6,ROVED,sitting,0.8366600265340756,0.3741657386773941,0.7,5,3.8,0.13944333775567927,0.06236095644623236,0.019444444444444445,5,-0.36666666666666664,0.13944333775567927,0.06236095644623236,0.019444444444444445,5,0.36666666666666664,0.8366600265340756,0.3741657386773941,0.7,5
T004,2,Floor level,6,ROVED,sitting,1.1726039399558574,0.5244044240850758,1.375,5,2.5,0.1954339899926429,0.08740073734751262,0.03819444444444444,5,-0.5833333333333334,0.1954339899926429,0.08740073734751262,0.03819444444444444,5,0.5833333333333334,1.1726039399558574,0.5244044240850758,1.375,5
T007,2,Floor level,6,ROVED,sitting,0.5477225575051661,0.24494897427831777,0.3,5,2.6,0.09128709291752767,0.04082482904638629,0.00833333333333333,5,-0.5666666666666667,0.09128709291752767,0.04082482904638629,0.00833333333333333,5,0.5666666666666667,0.5477225575051661,0.24494897427831777,0.3,5
T008,2,Floor level,6,ROVED,sitting,0.4722287581247038,0.21118712081942875,0.22299999999999998,5,2.36,0.07870479302078398,0.0351978534699048,0.006194444444444446,5,-0.6066666666666667,0.07870479302078398,0.0351978534699048,0.006194444444444446,5,0.6066666666666667,0.4722287581247039,0.21118712081942878,0.22300000000000006,5
T009,2,Floor level,6,ROVED,sitting,0.5773502691896257,0.28867513459481287,0.3333333333333333,4,1.5,0.09622504486493767,0.048112522432468836,0.009259259259259267,4,-0.75,0.09622504486493767,0.048112522432468836,0.009259259259259267,4,0.75,0.5773502691896257,0.28867513459481287,0.3333333333333333,4
T010,2,Floor level,6,ROVED,sitting,0.408248290463863,0.16666666666666669,0.16666666666666666,6,2.6666666666666665,0.06804138174397716,0.027777777777777776,0.0046296296296296285,6,-0.5555555555555556,0.06804138174397716,0.027777777777777776,0.0046296296296296285,6,0.5555555555555556,0.408248290463863,0.16666666666666669,0.16666666666666666,6
T011,2,Floor level,6,ROVED,sitting,0,0,0,5,2,0,0,0,5,-0.6666666666666666,0,0,0,5,0.6666666666666666,0,0,0,5
T012,2,Floor level,6,ROVED,sitting,0.8944271909999159,0.39999999999999997,0.8,5,2.4,0.14907119849998599,0.06666666666666667,0.022222222222222227,5,-0.6,0.14907119849998599,0.06666666666666667,0.022222222222222227,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5
T013,2,Floor level,6,ROVED,sitting,0.3544361719689456,0.1772180859844728,0.125625,4,1.6375,0.05907269532815762,0.02953634766407881,0.0034895833333333354,4,-0.7270833333333333,0.05907269532815762,0.02953634766407881,0.0034895833333333354,4,0.7270833333333333,0.35443617196894567,0.17721808598447283,0.12562500000000004,4
S001,3,Ear level,2,NORMAL,standing,0.64389051864428,0.2879565939512412,0.414595,5,0.607,0.3461105314780236,0.1547853352226883,0.1197925,5,-0.7415,0.3461105314780236,0.1547853352226883,0.1197925,5,0.7415,0.6922210629560472,0.3095706704453766,0.47917,5
S002,3,Ear level,2,NORMAL,standing,0.20736441353327723,0.09273618495495704,0.043000000000000003,5,1.46,0.10368220676663861,0.04636809247747852,0.010750000000000001,5,-0.27,0.10368220676663861,0.04636809247747852,0.010750000000000001,5,0.27,0.20736441353327723,0.09273618495495704,0.043000000000000003,5
S003,3,Ear level,2,NORMAL,standing,7.35540617505247,3.2894376419078077,54.102,5,8.02,3.677703087526235,1.6447188209539039,13.5255,5,3.01,3.238132177660449,1.448136733875638,10.4855,5,3.39,7.35540617505247,3.2894376419078077,54.102,5
S004,3,Ear level,2,NORMAL,standing,0.6708203932499369,0.3,0.45,5,2.7,0.33541019662496846,0.15,0.1125,5,0.35,0.33541019662496846,0.15,0.1125,5,0.35,0.6708203932499369,0.3,0.45,5
S005,3,Ear level,2,NORMAL,standing,0.27386127875258304,0.12247448713915889,0.075,5,1.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.1,0.13693063937629152,0.06123724356957944,0.01875,5,0.1,0.27386127875258304,0.12247448713915889,0.075,5
S006,3,Ear level,2,NORMAL,standing,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.5477225575051661,0.24494897427831777,0.3,5
S007,3,Ear level,2,NORMAL,standing,0.27386127875258304,0.12247448713915889,0.075,5,1.3,0.13693063937629152,0.06123724356957944,0.01875,5,-0.35,0.13693063937629152,0.06123724356957944,0.01875,5,0.35,0.27386127875258304,0.12247448713915889,0.075,5
S008,3,Ear level,2,NORMAL,standing,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.4183300132670378,0.18708286933869706,0.175,5,-0.1,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.8366600265340756,0.3741657386773941,0.7,5
S009,3,Ear level,2,NORMAL,standing,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.6599999999999999,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,-0.67,0.04472135954999579,0.019999999999999997,0.001999999999999999,5,0.67,0.08944271909999157,0.039999999999999994,0.007999999999999997,5
S010,3,Ear level,2,NORMAL,standing,1.4404860290887933,0.6442049363362562,2.075,5,4.8,0.7202430145443967,0.3221024681681281,0.51875,5,1.4,0.7202430145443967,0.3221024681681281,0.51875,5,1.4,1.4404860290887933,0.6442049363362562,2.075,5
